127.0.0.1 - - [24/Mar/2026 16:46:51] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:47:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:47:17] "GET /_expo/static/js/web/index-ab2c88b550757299b452fc64c5e8c0f6.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:47:18] "GET /assets/node_modules/@expo-google-fonts/inter/500Medium/Inter_500Medium.137ab18bace28dd0bd83eb3b8ed2bc54.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:47:18] "GET /assets/node_modules/@expo-google-fonts/space-mono/400Regular/SpaceMono_400Regular.59c83e1fe244568db558bab69755a6dd.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:47:18] "GET /assets/node_modules/@expo-google-fonts/inter/700Bold/Inter_700Bold.6e237de4f1f413afa2fcc45c77ac343a.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:47:18] "GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:47:18] "GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:13] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:13] "GET /_expo/static/js/web/index-ab2c88b550757299b452fc64c5e8c0f6.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:14] "GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:14] "GET /assets/node_modules/@expo-google-fonts/inter/500Medium/Inter_500Medium.137ab18bace28dd0bd83eb3b8ed2bc54.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:14] "GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:14] "GET /assets/node_modules/@expo-google-fonts/inter/700Bold/Inter_700Bold.6e237de4f1f413afa2fcc45c77ac343a.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:14] "GET /assets/node_modules/@expo-google-fonts/space-mono/400Regular/SpaceMono_400Regular.59c83e1fe244568db558bab69755a6dd.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:29] "GET /_expo/static/js/web/index-ab2c88b550757299b452fc64c5e8c0f6.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:30] "GET /assets/node_modules/@expo-google-fonts/space-mono/400Regular/SpaceMono_400Regular.59c83e1fe244568db558bab69755a6dd.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:30] "GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:30] "GET /assets/node_modules/@expo-google-fonts/inter/500Medium/Inter_500Medium.137ab18bace28dd0bd83eb3b8ed2bc54.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:30] "GET /assets/node_modules/@expo-google-fonts/inter/700Bold/Inter_700Bold.6e237de4f1f413afa2fcc45c77ac343a.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:30] "GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:51] "GET /_expo/static/js/web/index-ab2c88b550757299b452fc64c5e8c0f6.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2026 16:48:52] "GET /assets/node_modules/@expo-google-fonts/inter/500Medium/Inter_500Medium.137ab18bace28dd0bd83eb3b8ed2bc54.ttf HTTP/1.1" 200 -
